id,opening_revenue,budget,runtime,position_in_series,previous_film_release,previous_film_rating,cast_xp_median,cast_rating_max,writer_xp_median,writer_xp_sum,writer_rating_median,writer_rating_max,production_room,writers_room,sound_room,crew,based_on_novel,is_adventure,is_fantasy,is_animation,is_drama,is_horror,is_action,is_comedy,is_history,is_thriller,is_crime,is_documentary,is_sci_fi,is_mystery,is_music,is_romance,is_family,total_genres,CA,US,is_series,num_production_companies,num_indie,is_indie,pct_indie,filmed_in_central_america,filmed_in_oceania,filmed_in_europe,filmed_in_asia,filmed_in_mena,is_spring,is_summer,is_fall,is_holiday,is_jan,is_feb,is_mar,is_apr,is_may,is_jun,is_jul,is_aug,is_sep,is_oct,is_nov,is_dec,first_time_writers,first_time_directors
59,364000.0,32000000.0,96.0,1,0.0,0.0,43.0,8.5,3.5,7.0,4.7,5.8,13.0,3.0,18.0,73.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,2,0,0,0.3333333333333333,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8976,7576593.0,30000000.0,107.0,1,0.0,0.0,12.0,7.574,0.0,0.0,0.0,0.0,5.0,1.0,13.0,36.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10077,917398.0,80000000.0,101.0,1,0.0,0.0,21.0,10.0,6.0,62.0,5.9565,10.0,31.0,4.0,16.0,133.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,1,0,5,0,0,0.058823529411764705,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8202,12661112.0,62000000.0,93.0,1,0.0,0.0,23.0,10.0,4.0,17.0,6.6,10.0,33.0,3.0,21.0,187.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,1,0,2,0,0,0.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22559,479368.0,26000000.0,95.0,1,0.0,0.0,2.0,8.4,7.0,7.0,6.9,7.9,5.0,1.0,1.0,13.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12142,2834421.0,20000000.0,98.0,1,0.0,0.0,21.0,10.0,1.0,2.0,4.5355,5.971,24.0,3.0,15.0,143.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,749000.0,30000000.0,108.0,1,0.0,0.0,32.0,10.0,4.0,4.0,5.8,6.0,18.0,2.0,2.0,53.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11637,18575214.0,32000000.0,95.0,1,0.0,0.0,22.0,10.0,6.0,29.0,6.2,7.3,12.0,6.0,8.0,99.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,1,0,1,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8978,7000000.0,30000000.0,109.0,1,0.0,0.0,34.0,8.308,43.5,87.0,6.1,8.1,27.0,2.0,30.0,141.0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,5,0,1,0,3,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13341,11382472.0,30000000.0,113.0,1,0.0,0.0,41.0,10.0,2.0,9.0,5.8,8.1,2.0,3.0,1.0,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
272,48745440.0,150000000.0,140.0,1,0.0,0.0,48.0,10.0,18.0,57.0,5.9,8.181,39.0,3.0,28.0,238.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,2,0,0,0.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4551,23450212.0,53000000.0,118.0,2,3423.0,6.47,35.0,10.0,19.0,38.0,5.75,9.5,9.0,2.0,3.0,61.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14177,12801465.0,25000000.0,105.0,1,0.0,0.0,25.0,10.0,4.0,8.0,5.1,7.2,13.0,3.0,1.0,29.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17880,10208431.0,14000000.0,106.0,1,0.0,0.0,43.0,10.0,1.0,1.0,5.3,5.3,7.0,2.0,15.0,39.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9722,20131130.0,85000000.0,102.0,1,0.0,0.0,48.0,10.0,11.0,40.0,6.05,7.4,9.0,3.0,1.0,38.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8968,19020655.0,20000000.0,89.0,1,0.0,0.0,8.0,8.5,3.0,6.0,3.0,8.0,12.0,3.0,11.0,72.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,547425.0,14000000.0,134.0,1,0.0,0.0,18.0,10.0,1.0,14.0,6.133,7.6,16.0,3.0,24.0,99.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
308,780408.0,10000000.0,106.0,1,0.0,0.0,43.0,10.0,39.5,79.0,6.5,8.0,29.0,4.0,18.0,186.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,4,0,1,0,2,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
398,324857.0,7000000.0,114.0,1,0.0,0.0,43.0,8.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,22.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9681,119276.0,20000000.0,112.0,1,0.0,0.0,34.0,10.0,8.0,16.0,6.05,7.113,9.0,3.0,12.0,65.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,56178450.0,150000000.0,115.0,1,0.0,0.0,41.0,10.0,17.5,35.0,6.35,7.761,37.0,2.0,26.0,194.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,2,0,0,0.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9641,9309387.0,60000000.0,94.0,2,728.0,6.3,22.0,9.0,3.0,13.0,6.3,7.3,7.0,4.0,1.0,36.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,1,1,2,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9982,40049778.0,150000000.0,81.0,1,0.0,0.0,31.0,10.0,5.0,32.0,7.05,7.91,7.0,7.0,10.0,77.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
921,18320205.0,88000000.0,144.0,1,0.0,0.0,28.0,10.0,14.0,14.0,6.24,7.858,14.0,2.0,6.0,77.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7214,24182961.0,30000000.0,136.0,1,0.0,0.0,6.0,10.0,4.5,9.0,5.4,6.5,9.0,2.0,1.0,21.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0.3333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
561,29769098.0,100000000.0,121.0,1,0.0,0.0,15.0,8.218,5.0,25.0,5.7,8.018,42.0,6.0,40.0,356.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0.125,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3933,388166.0,40000000.0,77.0,1,0.0,0.0,27.0,10.0,6.5,113.0,6.4,7.971,22.0,12.0,55.0,261.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,2,0,0,0.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1640,9107071.0,6500000.0,112.0,1,0.0,0.0,36.0,10.0,3.0,18.0,6.0,8.6,34.0,4.0,19.0,142.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10012,9600000.0,35000000.0,99.0,1,0.0,0.0,26.0,10.0,12.0,12.0,6.0145,7.422,57.0,1.0,39.0,421.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8999,12211986.0,22000000.0,108.0,1,0.0,0.0,36.0,10.0,5.0,5.0,6.2,7.8,26.0,2.0,19.0,136.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11453,9626287.0,22000000.0,83.0,2,2072.0,6.0,32.0,9.0,2.0,9.0,4.272,6.348,27.0,3.0,15.0,106.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16186,21905089.0,5500000.0,117.0,1,0.0,0.0,5.0,10.0,22.0,22.0,7.5,7.6,33.0,2.0,35.0,167.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9923,4675000.0,50000000.0,127.0,1,0.0,0.0,23.0,10.0,3.0,17.0,7.4,10.0,33.0,4.0,21.0,239.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8814,15488870.0,60000000.0,105.0,1,0.0,0.0,10.0,10.0,13.0,13.0,5.911,7.3,26.0,2.0,24.0,178.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,4,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9947,12804793.0,43000000.0,97.0,1,0.0,0.0,20.0,10.0,8.5,30.0,6.0,8.0,30.0,5.0,27.0,200.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9621,10618711.0,57000000.0,123.0,1,0.0,0.0,69.0,10.0,19.0,19.0,6.8,7.51,23.0,1.0,28.0,132.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,2,0,0,0.25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13020,76639.0,26000000.0,110.0,1,0.0,0.0,59.5,10.0,27.0,27.0,0.0,7.3,3.0,2.0,11.0,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
340,66806.0,7000000.0,106.0,1,0.0,0.0,28.0,8.9,1.0,1.0,6.8,6.8,9.0,2.0,1.0,25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9738,56061504.0,100000000.0,106.0,1,0.0,0.0,9.0,10.0,14.0,102.0,5.8,8.442,36.0,4.0,28.0,329.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,2,0,0,0.16666666666666666,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11431,12400125.0,30000000.0,104.0,1,0.0,0.0,30.0,10.0,24.0,57.0,6.01,7.2,9.0,3.0,3.0,28.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9315,24629938.0,55000000.0,98.0,1,0.0,0.0,20.0,8.348,8.0,8.0,5.8115000000000006,7.004,44.0,2.0,34.0,232.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8292,21176925.0,45000000.0,109.0,1,0.0,0.0,6.0,10.0,4.0,4.0,2.55,5.1,10.0,2.0,25.0,72.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7552,14383515.0,100000000.0,90.0,1,0.0,0.0,47.0,10.0,13.0,53.0,5.8,7.5,29.0,6.0,20.0,159.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10060,12020807.0,40000000.0,117.0,1,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,14.0,1.0,3.0,30.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,1,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3291,421446.0,7000000.0,92.0,1,0.0,0.0,51.0,10.0,5.5,11.0,6.722,7.3,20.0,2.0,16.0,80.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
501,269131.0,26000000.0,103.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,30.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11638,20671446.0,35000000.0,105.0,1,0.0,0.0,13.0,9.0,8.0,24.0,5.752000000000001,7.053,9.0,5.0,9.0,68.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
674,102685961.0,150000000.0,157.0,4,534.0,8.018,5.0,8.018,11.5,23.0,7.72,8.018,23.0,3.0,30.0,205.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0.3333333333333333,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11451,12709221.0,50000000.0,100.0,6,2762.0,5.565,23.0,10.0,6.0,34.0,6.1,7.8,26.0,8.0,20.0,173.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0,1,1,1,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11096,21959233.0,30000000.0,101.0,1,0.0,0.0,30.0,10.0,1.0,1.0,4.7,4.7,5.0,1.0,11.0,43.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8488,43142214.0,70000000.0,118.0,1,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,15.0,1.0,29.0,117.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2026,9800000.0,52000000.0,113.0,1,0.0,0.0,12.0,10.0,3.5,7.0,5.8,6.951,32.0,2.0,15.0,139.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,1,0,2,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10066,12077236.0,40000000.0,113.0,1,0.0,0.0,11.0,10.0,13.0,65.0,5.1,7.2,26.0,3.0,18.0,139.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10476,8017808.0,8000000.0,116.0,1,0.0,0.0,12.0,10.0,9.0,9.0,6.0,6.1,6.0,1.0,21.0,38.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13374,6807471.0,25000000.0,98.0,1,0.0,0.0,15.0,7.637,2.0,4.0,6.843500000000001,7.379,10.0,4.0,6.0,50.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,1,1,0,2,0,0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11931,10017575.0,26000000.0,130.0,1,0.0,0.0,32.0,10.0,4.0,4.0,7.162000000000001,7.42,13.0,2.0,1.0,36.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,2,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11968,7057854.0,50000000.0,110.0,1,0.0,0.0,15.0,8.5,1.0,1.0,5.2,5.2,30.0,1.0,25.0,159.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,0,1,0,1,0,0,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,27726210.0,72000000.0,123.0,1,0.0,0.0,21.0,10.0,4.0,8.0,6.71,7.663,31.0,3.0,23.0,167.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1444,74739.0,1000000.0,106.0,1,0.0,0.0,20.0,8.565,0.0,0.0,0.0,0.0,9.0,1.0,3.0,24.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10033,9275000.0,26000000.0,94.0,1,0.0,0.0,12.0,9.0,2.0,2.0,4.0,4.0,21.0,1.0,23.0,91.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9007,16408718.0,58000000.0,95.0,1,0.0,0.0,23.0,10.0,12.0,24.0,6.029999999999999,7.3,8.0,3.0,12.0,82.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9981,20159925.0,45000000.0,95.0,1,0.0,0.0,22.0,10.0,4.0,8.0,6.246,6.822,7.0,2.0,2.0,37.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
254,50130145.0,207000000.0,187.0,1,0.0,0.0,33.0,10.0,50.0,290.0,6.0,10.0,30.0,5.0,43.0,254.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0.25,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
