Year,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
2005,2046,"$1,444,588",61,"$113,074",7.80%,4,Aug 5,Dec 8,Sony Pictures Classics
2005,A History of Violence,"$31,504,633","1,348","$364,000",1.20%,14,Sep 23,February 9,New Line Cinema
2005,A Lot Like Love,"$21,845,719","2,502","$7,576,593",34.70%,"2,502",April 22,Jul 7,Walt Disney Studios Motion Pictures
2005,A Sound of Thunder,"$1,900,451",816,"$917,398",48.30%,816,Sep 2,Oct 6,Warner Bros.
2005,Æon Flux,"$25,874,337","2,608","$12,661,112",48.90%,"2,608",Dec 2,Feb 9,Paramount Pictures
2005,Aliens of the Deep,"$8,968,684",27,"$479,368",5.30%,27,January 28,Dec 20,Walt Disney Studios Motion Pictures
2005,Alone in the Dark,"$5,178,569","2,124","$2,834,421",54.70%,"2,124",Jan 28,Feb 17,Lionsgate
2005,An Unfinished Life,"$8,586,392",888,"$749,000",8.70%,139,Sep 9,October 20,Miramax
2005,Are We There Yet?,"$82,674,398","2,810","$18,575,214",22.50%,"2,709",Jan 21,Jun 16,Revolution Studios
2005,Assault on Precinct 13,"$20,040,895","2,297","$7,000,000",-,"2,297",Jan 19,Feb 24,Rogue Pictures
2005,Bad News Bears,"$32,868,349","3,183","$11,382,472",34.60%,"3,183",Jul 22,Sep 29,Paramount Pictures
2005,Batman Begins,"$205,343,774","3,858","$48,745,440",23.70%,"3,858",Jun 15,Oct 30,Warner Bros.
2005,Be Cool,"$56,046,979","3,216","$23,450,212",41.80%,"3,216",Mar 4,May 19,Metro-Goldwyn-Mayer (MGM)
2005,Beauty Shop,"$36,351,350","2,659","$12,801,465",35.20%,"2,659",Mar 30,May 19,Metro-Goldwyn-Mayer (MGM)
2005,Because of Winn-Dixie,"$32,647,042","3,188","$10,208,431",31.30%,"3,188",Feb 18,Jun 23,Twentieth Century Fox
2005,Bewitched,"$63,313,159","3,188","$20,131,130",31.80%,"3,174",Jun 24,Aug 21,Sony Pictures Releasing
2005,Boogeyman,"$46,752,382","3,052","$19,020,655",40.70%,"3,052",Feb 4,Mar 31,Screen Gems
