,Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,plus_mins,expected_plus_mins,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP.1,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF.1,iFF,iSF,iSF.1,iSF.2,ixG,iSCF,iRB,iRS,iDS,sDist,sDist.1,Pass,iHF,iHF.1,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA.1,iTKA.1,iBLK.1,BLK%,iFOW,iFOL,iFOW.1,iFOL.1,FO_pct,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,OTOI,Grit,DAP,Pace,GS,GS/G,Is_Offense,Salary_log
0,0.925,97-01-30,Sainte-Marie,QC,CAN,CAN,74,190,2015.0,1.0,18.0,L,Chabot,Thomas,D,OTT,1,0,0,0,0,0,-2,0.0,0,13,429,7.2,7.15,7.16,15.2,0.0,0.0,0.75,750.0,0.0,16.74,0.0,-2,-16.74,2.0,2,2.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,43.0,49.3,0.0,1,1.0,0.0,1.0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,9.0,12.0,8.0,10.0,5.0,8.0,0.5,0.9,2.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1,2,4.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,-0.2,-0.2,40.03,1,0.0,175.7,-0.4,-0.38,0,-0.0779615414697118
1,2.25,93-12-21,Ottawa,ON,CAN,CAN,74,207,2012.0,1.0,15.0,R,Ceci,Cody,D,OTT,79,2,15,6,9,17,-11,-10.4,20,2418,109992,1826.2,23.2,23.17,39.0,30.4,7.4,0.915,989.0,1.84,2.79,39.7,-29,-0.95,287.0,287,197.0,143.0,143,143,6.1,7.0,7.0,9.0,16.0,52.4,46.3,138.1,111,111.0,154.0,-43.0,54,74,22,159,74.0,22.0,159.0,8.0,1,0,1.0,0.0,100.0,0.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,51,2,0,49,12,0,1,79,10,6,10.0,5.0,-4,2.2,10,0,0,0,0,1433.0,1992.0,1038.0,1423.0,757.0,997.0,62.0,88.8,197.0,280.0,56.0,85.0,68.0,82.0,79.0,94.0,147,176,949.0,939.0,749.0,671.0,284.0,197.0,104.0,98.0,-0.2,3.4,3.2,2850.59,290,13.3,112.5,14.1,0.18,0,0.8109302162163288
2,8.0,88-04-16,St. Paul,MN,USA,USA,72,218,2006.0,1.0,7.0,R,Okposo,Kyle,RW,BUF,65,19,26,13,13,45,-7,-1.4,24,1443,73983,1229.2,18.97,18.95,33.1,63.4,9.7,0.934,1031.0,3.47,1.95,64.0,31,1.51,283.0,283,212.0,155.0,156,156,17.4,64.0,16.0,20.0,36.0,28.4,26.3,196.8,53,53.0,68.0,-15.0,57,36,26,25,36.0,26.0,25.0,2.4,54,45,54.0,45.0,54.5,7.4,9,6,10,11,35,28,13,10,21,16,37,33,1,5,2,0,0,0,5,2,0,3,0,0,9,0,2,4,51,19,3,3,20,8,2,101,12,10,11.0,8.0,-2,-0.5,12,0,0,0,0,1301.0,1051.0,986.0,826.0,734.0,606.0,70.8,46.4,235.0,133.0,71.0,40.0,60.0,34.0,76.0,52.0,136,86,739.0,600.0,340.0,351.0,168.0,129.0,56.0,70.0,3.7,1.3,5.0,2486.75,102,6.6,114.8,36.8,0.57,1,2.0794415416798357
3,3.5,92-01-07,Ottawa,ON,CAN,CAN,77,220,2010.0,1.0,3.0,R,Gudbranson,Erik,D,VAN,30,1,5,5,0,6,-14,-5.3,18,765,36603,607.9,20.33,20.31,36.1,37.5,6.2,0.897,959.0,1.58,3.45,31.4,-19,-1.88,88.0,88,55.0,40.0,40,40,1.4,2.0,1.0,4.0,5.0,55.1,51.0,153.0,66,66.0,66.0,0.0,15,23,4,44,23.0,4.0,44.0,7.3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,18,3,0,0,19,6,7,6.0,6.0,1,2.7,4,2,0,0,0,460.0,605.0,339.0,467.0,259.0,340.0,22.0,33.6,80.0,130.0,16.0,35.0,27.0,20.0,29.0,32.0,56,52,324.0,328.0,198.0,197.0,86.0,59.0,26.0,22.0,0.0,0.4,0.5,1074.41,130,17.5,105.1,5.9,0.2,0,1.252762968495368
4,1.75,94-03-29,Toronto,ON,CAN,CAN,76,217,2012.0,1.0,16.0,R,Wilson,Tom,RW,WSH,82,7,12,4,8,19,9,4.1,133,1453,63592,1059.7,12.93,12.93,23.5,61.3,7.8,0.917,995.0,1.76,2.32,43.1,-10,-0.57,166.0,166,118.0,95.0,95,95,9.3,35.0,8.0,10.0,18.0,30.9,26.4,96.3,239,239.0,134.0,105.0,23,21,36,44,21.0,36.0,44.0,4.4,3,7,3.0,7.0,30.0,1.0,1,1,0,2,2,4,3,1,0,3,2,6,0,2,0,1,0,0,0,0,0,0,1,0,6,0,2,1,20,7,2,3,10,11,1,61,44,33,40.0,29.0,-11,-14.3,33,9,0,1,1,766.0,992.0,546.0,720.0,398.0,495.0,33.5,47.5,124.0,159.0,31.0,41.0,30.0,37.0,43.0,53.0,73,90,528.0,490.0,512.0,422.0,157.0,126.0,88.0,68.0,-0.1,1.4,1.3,3459.09,425,8.3,99.5,21.8,0.27,1,0.5596157879354227
5,1.5,79-05-23,Strathroy,ON,CAN,CAN,70,192,1997.0,6.0,156.0,L,Campbell,Brian,D,CHI,80,5,12,6,6,17,12,0.7,24,1896,88462,1473.7,18.43,18.43,32.4,23.9,9.8,0.936,1033.0,2.89,1.91,60.2,24,0.98,171.0,171,110.0,75.0,74,75,4.5,7.0,2.0,3.0,5.0,46.1,41.9,95.7,43,43.0,157.0,-114.0,35,59,11,83,59.0,11.0,83.0,6.5,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,1,6,28,2,0,32,9,1,0,30,12,11,12.0,8.0,-1,5.4,12,0,0,0,0,1356.0,1281.0,971.0,972.0,728.0,730.0,62.9,59.9,210.0,197.0,71.0,47.0,30.0,56.0,58.0,85.0,88,141,570.0,667.0,348.0,707.0,223.0,168.0,76.0,60.0,0.6,3.7,4.3,3069.81,150,4.5,107.4,20.8,0.26,0,0.4054651081081644
6,0.95,90-11-21,Stockholm,,SWE,SWE,71,185,2009.0,2.0,53.0,L,Rodin,Anton,RW,VAN,3,0,1,0,1,1,1,0.3,0,40,1604,26.7,8.92,8.91,19.1,100.0,14.3,1.0,1143.0,2.24,0.0,100.0,1,2.24,5.0,5,3.0,2.0,2,2,0.1,0.0,0.0,0.0,0.0,33.5,38.2,0.0,0,0.0,2.0,-2.0,1,1,2,1,1.0,2.0,1.0,4.3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0.0,0,0,0,0,0,17.0,23.0,10.0,15.0,7.0,11.0,0.7,0.5,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2,0,16.0,13.0,1.0,12.0,3.0,4.0,0.0,1.0,0.0,0.1,0.1,113.46,1,0.0,89.8,0.6,0.18,1,-0.05129329438755058
7,0.8425,93-07-28,Toronto,ON,CAN,CAN,70,183,,,,R,Rodrigues,Evan,LW/C,BUF,30,4,2,2,0,6,-7,-4.1,4,506,23265,388.2,12.93,12.93,23.5,75.0,4.7,0.925,972.0,1.24,2.63,32.0,-9,-1.39,94.0,94,74.0,51.0,51,51,2.8,9.0,1.0,6.0,7.0,37.7,37.6,96.3,12,12.0,20.0,-8.0,23,9,12,12,9.0,12.0,12.0,3.2,104,146,104.0,146.0,41.6,79.4,27,37,37,53,40,56,36,46,39,56,59,90,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,21,3,0,7,9,0,1,31,2,8,2.0,6.0,6,3.0,2,0,0,0,0,309.0,379.0,246.0,291.0,170.0,226.0,10.5,17.2,36.0,54.0,8.0,17.0,3.0,13.0,12.0,14.0,15,27,141.0,174.0,192.0,136.0,50.0,30.0,22.0,15.0,0.0,0.2,0.2,1261.25,28,12.0,106.3,6.2,0.21,1,-0.17138161675562022
8,1.25,92-06-14,Scarborough,ON,CAN,CAN,72,214,2010.0,2.0,42.0,R,Smith-Pelly,Devante,RW/C/LW,N.J,53,4,5,2,3,9,-19,-7.9,12,975,42950,717.7,13.57,13.54,24.2,81.8,4.0,0.924,964.0,0.92,2.42,27.5,-18,-1.5,108.0,109,97.0,74.0,76,76,7.8,31.0,4.0,1.0,5.0,26.6,25.4,84.0,94,94.0,53.0,41.0,24,14,17,32,14.0,17.0,32.0,4.4,29,42,29.0,42.0,40.8,11.5,7,9,9,12,13,21,10,18,10,11,17,26,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,3,21,8,0,4,19,8,0,37,6,9,6.0,6.0,3,1.8,6,0,0,0,0,484.0,724.0,380.0,548.0,277.0,384.0,23.8,33.7,74.0,105.0,11.0,29.0,11.0,17.0,13.0,36.0,24,53,286.0,330.0,292.0,240.0,85.0,69.0,47.0,40.0,-0.6,0.3,-0.3,2250.18,138,18.5,101.0,2.0,0.04,1,0.22314355131420976
9,0.925,93-04-27,Petawawa,ON,CAN,CAN,68,178,2011.0,7.0,201.0,L,Peca,Matthew,C,T.B,10,1,1,1,0,2,-3,-2.6,2,159,6867,114.3,11.45,11.44,23.4,100.0,4.4,0.907,952.0,1.05,2.63,28.6,-3,-1.58,24.0,24,17.0,9.0,9,9,0.9,3.0,0.0,1.0,1.0,24.9,28.4,45.8,9,9.0,16.0,-7.0,8,2,0,2,2.0,0.0,2.0,2.2,32,40,32.0,40.0,44.4,74.2,8,10,13,17,11,13,16,14,7,10,18,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,1,1,0,6,1,0,1.0,0.0,-1,-0.9,1,0,0,0,0,103.0,91.0,66.0,73.0,45.0,54.0,2.6,3.7,5.0,11.0,2.0,5.0,3.0,1.0,2.0,4.0,5,5,45.0,52.0,52.0,47.0,15.0,6.0,8.0,7.0,0.0,0.0,0.0,373.48,13,9.0,101.9,2.1,0.21,1,-0.0779615414697118
